project_id,weather_station,zipcode,address,city,state,year_built,retrofit_start_date,retrofit_end_date
SEHDPS1526388719,722899,91711,,,CA,1950,,8/2/12
LJBW3M,723890,93728,,Fresno AP,CA,1939,,9/28/11
DZP0NG,724940,94121,,San Francisco CO,CA,1950,,2/28/12
702LGM,724940,94116,,San Francisco AP,CA,1945,,2/27/12
QXZ1OQ,724830,95630,,Folsom Dam,CA,1990,,3/9/12
Y2OVOG,724839,95841,,Sacramento CO,CA,1959,,1/25/12
5I6E1O,724830,95820,,Sacramento AP,CA,1935,,1/5/12
OE5FAK,724830,95608,,Carmichael,CA,1961,,2/3/12
CGJT9D,724936,94561,,Oakley,CA,1983,,1/17/12
F1B546,724830,95822,,Sacramento AP,CA,1958,,3/12/12
4OA284,724927,94566,,Pleasanton,CA,1968,,2/21/12
LU4YO6,724940,94116,,San Francisco AP,CA,1939,,1/31/12
HUR5Z8,724945,95070,,Saratoga,CA,1955,,12/22/11
N8QR84,724830,95630,,Folsom Dam,CA,1992,,1/19/12
HAJH9S,724837,95603,,Auburn,CA,1985,,10/12/11
6033367454,722903,92020,385 TYRONE ST,El Cajon,CA,1964,,7/12/12
UMS2WV,724830,95691,,West Sacramento,CA,1990,,12/6/11
K9EU4B,724940,94070,,San Carlos,CA,1950,,3/1/12
7G571Q,724830,95608,,Carmichael,CA,1962,,3/20/12
OJMW71,724927,94568,,Dublin,CA,1963,,3/21/12
Z0RH1I,724830,95864,,Sacramento AP,CA,1967,,2/15/12
S83Q28,724815,93635,,Los Banos Res,CA,1984,,8/24/11
SEHDPS1526388628,722976,91791,,,CA,1963,,7/2/12
SEHDPS1526388629,722976,91790,,,CA,1954,,4/6/12
SEHDPS1526388158,722880,91001,,,CA,Not Available,,8/1/11
VXBW0E,724945,95125,,San Jose,CA,1926,,1/20/12
SEHDPS1526388150,722899,91711,,,CA,1960,,6/22/11
SEHDPS1526388623,722869,92376,,,CA,1952,,5/16/12
SEHDPS1526388156,722899,91711,,,CA,1940,,7/29/11
SEHDPS1526388625,722976,91722,,,CA,1957,,6/1/12
SEHDPS1526388626,722976,91770,,,CA,1962,,5/3/12
SEHDPS1526388155,722869,92407,,,CA,1990,,8/10/11
SGHDPS1526142993,722886,91344,,,CA,1964,,6/4/12
GAJODI,745090,94087,,Sunnyvale,CA,1976,,1/23/12
0UE0SG,724930,94804,,Richmond,CA,1991,,3/2/12
I1WK96,724936,94595,,Walnut Creek,CA,1959,,2/9/12
SEHDPS1526388109,723926,91320,,,CA,1966,,4/1/11
PR4DZA,724930,94611,,Oakland AP,CA,1972,,11/7/11
CRT74F,724830,95864,,Sacramento AP,CA,1952,,12/30/11
QY4TJC,724839,95673,,Sacramento CO,CA,1964,,2/15/12
63VG0F,724955,94559,,Napa State Hospital,CA,1979,,3/13/12
MWRNIQ,724930,94705,,Berkeley,CA,1910,,1/30/12
SEHDPS1526389002,722956,90275,,,CA,1958,,6/7/12
V7CXV5,724920,95212,,Stockton AP,CA,1954,,3/14/12
SEHDPS1526389004,722899,91724,,,CA,1956,,5/14/12
SEHDPS1526388534,722860,92557,,,CA,1983,,5/21/12
QB0TLK,724830,95608,,Carmichael,CA,1955,,1/6/12
SEHDPS1526389009,723896,93291,,,CA,1968,,7/30/12
SEHDPS1526388537,722976,91791,,,CA,1955,,3/6/12
SEHDPS1526388530,722899,91724,,,CA,1957,,2/29/12
ZOD53R,724930,94703,,Sacramento CO,CA,1939,,9/16/11
SEHDPS1526388532,722899,91768,,,CA,1956,,3/14/12
TEWINB,724957,95472,,Sebastopol,CA,1973,,2/2/12
VINOP4,724936,94596,,Walnut Creek,CA,1938,,2/1/12
S96N9K,724930,94706,,Berkeley,CA,1926,,10/17/11
P7LWUJ,745090,94024,,Los Altos,CA,1962,,8/17/11
KVKIRO,724830,95628,,Fair Oaks,CA,1967,,2/27/12
1QVIN4,724830,95826,,Sacramento AP,CA,1965,,2/24/12
SEHDPS1526388440,722899,91741,,,CA,1954,,2/13/12
SEHDPS1526388442,722956,90275,,,CA,1962,,3/30/12
SEHDPS1526388443,722976,90701,,,CA,1907,,3/1/12
SEHDPS1526388444,723896,93221,,,CA,1992,,1/18/12
KZFUQC,724927,94588,,Pleasanton,CA,1968,,12/15/11
SEHDPS1526388446,722926,92591,,,CA,1986,,4/10/12
SEHDPS1526388448,722860,92346,,,CA,1989,,1/4/12
XF3XSJ,745090,94025,,Menlo Park,CA,1962,,2/20/12
H2DMUF,724930,94619,,Oakland AP,CA,1924,,12/29/11
NXSRFH,745090,94062,,Woodside,CA,1978,,2/22/12
PBJWLK,745090,94087,,Sunnyvale,CA,1957,,12/19/11
9069281964,722903,92115,5453 REDLAND DR,San Diego,CA,1953,,3/23/12
SEHDPS1526388848,722970,90746,,,CA,1964,,8/30/12
EYJ3BJ,724920,95219,,Stockton AP,CA,1970,,9/14/11
SEHDPS1526388845,722976,91722,,,CA,1954,,8/21/12
SEHDPS1526388847,722899,91741,,,CA,1949,,10/1/12
SEHDPS1526388840,722880,91775,,,CA,1926,,9/19/12
SEHDPS1526388841,722899,91741,,,CA,1930,,9/25/12
SEHDPS1526388843,722976,91790,,,CA,1954,,8/31/12
QB1056,745160,95687,,Vacaville,CA,1978,,12/23/11
UZMSFT,724940,94015,,Daly City,CA,1956,,3/4/12
Y5NTGE,724940,94070,,San Carlos,CA,1942,,11/30/11
JRHNMZ,745090,94028,,Portola,CA,1955,,1/5/12
2CAFTD,724930,94708,,El Cerrito,CA,1947,,3/6/12
9264652903,722930,92128,11365 CAMINITO CORRIENTE,San Diego,CA,1988,,5/21/12
PFPPYJ,724940,94403,,San Mateo,CA,1953,,2/10/12
SEHDPS1526388588,722976,91722,,,CA,1953,,7/10/12
ES4BI8,724830,95742,,Sacramento CO,CA,1984,,9/30/11
NHIABC,724940,94121,,San Francisco AP,CA,1924,,2/15/12
3M64WE,723890,93726,,Fresno AP,CA,1972,,11/12/11
HZN9PV,745090,94024,,Los Altos,CA,1951,,1/17/12
ZSNT1I,724936,94523,,Pleasant Hill,CA,1958,,10/7/11
YF39XR,724940,94110,,San Francisco CO,CA,1890,,3/19/12
V6RI7O,724830,95824,,Sacramento CO,CA,1965,,4/21/11
M2PXZG,724930,94939,,Larkspur,CA,1970,,2/28/12
MW9AL9,724815,93635,,Los Banos,CA,1950,,2/15/12
DYPA8K,724920,95205,,Stockton AP,CA,1995,,12/1/11
7VMAN7,724830,95827,,Sacramento AP,CA,1959,,12/8/11
9H96I8,724830,95817,,Sacramento CO,CA,1991,,1/10/12
1V3X3B,724830,95608,,Carmichael,CA,1957,,2/22/12
1635614640,722903,91941,4120 YALE AVE,La Mesa,CA,1957,,5/14/12
8A1HNS,724940,94116,,San Francisco AP,CA,1943,,2/3/12
P3GPXH,724940,94402,,San Mateo,CA,1977,,2/24/12
SEHDPS1526535029,722886,91355,,,CA,1973,,10/4/12
LR0QNG,724830,95827,,Sacramento CO,CA,1960,,3/26/12
GNNRJF,724930,94602,,Oakland AP,CA,1985,,3/19/12
R8QVOP,724839,95833,,Sacramento AP,CA,1979,,11/9/11
8NILX7,724957,95409,,Santa Rosa,CA,1996,,9/20/11
SKA2AT,724830,95819,,Sacramento CO,CA,1929,,1/16/12
SEHDPS1526388563,722976,91006,,,CA,1955,,3/14/12
9J1UV0,724839,95833,,Sacramento AP,CA,1960,,12/30/11
C3ARL1,724837,95603,,Auburn,CA,1951,,2/8/12
2CXOAL,724940,94941,,Mill Valley,CA,1947,,11/3/11
V4BZ4B,724830,95628,,Fair Oaks,CA,1977,,2/6/12
AXBJL2,724935,94587,,Union City,CA,1971,,9/29/11
Z5II5I,724830,95618,,Davis,CA,1997,,2/16/12
SEHDPS1526382284,722977,92606,,,CA,1973,,7/20/12
G97M4E,724955,94589,,Vallejo,CA,1961,,1/27/12
PNIPCP,724940,94002,,Belmont,CA,1959,,3/7/12
YUHL4W,745090,94061,,Redwood City,CA,1954,,2/10/12
SEHDPS1526388548,722956,90278,,,CA,1958,,6/20/12
UG8004,724945,95125,,San Jose,CA,1952,,11/16/11
J7HFRO,724830,95824,,Sacramento CO,CA,1965,,1/24/11
TIGKU7,724936,94595,,Walnut Grove,CA,1971,,2/5/12
SEHDPS1526388584,722899,91741,,,CA,1912,,4/6/12
A1NBW0,724920,95219,,Stockton AP,CA,1987,,9/14/11
WD7G4Q,724945,95128,,San Jose,CA,1939,,1/29/12
5649425146,722900,92116,5134 HAWLEY BLVD,San Diego,CA,1975,,11/14/12
DJT3FU,724839,95610,,Citrus Heights,CA,1980,,9/23/11
SEHDPS1526388569,722976,91745,,,CA,Not Available,,6/5/12
SGHDPS1526258337,722885,90291,,,CA,1944,,8/11/12
SGHDPS1526258335,722886,91436,,,CA,1948,,7/4/12
SGHDPS1526258332,722886,91311,,,CA,1971,,7/23/12
SGHDPS1526258330,722886,91344,,,CA,1990,,7/16/12
Z3UO2Z,724830,95630,,Folsom,CA,1981,,3/16/12
SEHDPS1526388400,722899,91768,,,CA,1963,,5/30/12
ZBMC7V,724830,95829,,Sacramento AP,CA,1989,,1/31/12
SGHDPS1526258338,722885,90008,,,CA,1956,,8/12/12
SGHDPS1526258339,722880,90026,,,CA,1942,,7/4/12
3UF9P1,724957,95448,,Healdsburg,CA,1964,,1/26/12
SJXPKD,724839,95843,,Sacramento CO,CA,2002,,11/1/11
84NVMP,724920,95642,,Ione,CA,1990,,2/10/12
MTH35E,724830,95630,,Folsom,CA,2005,,1/14/12
E3RCZ8,724927,94526,,Danville,CA,1956,,12/8/11
1AKROA,724926,95382,,Turlock,CA,1974,,11/21/11
K0CL2Y,724839,95841,,Sacramento CO,CA,1965,,3/26/12
R5MKFP,724830,95826,,Sacramento AP,CA,1974,,3/10/12
SGHDPS1525812598,722880,91107,,,CA,1978,,3/10/12
BTB2J0,724920,95240,,Lodi,CA,1974,,12/14/11
VHFFOW,745090,95014,,Cupertino,CA,1963,,1/3/12
5H4JCU,724830,95608,,Carmichael,CA,1954,,1/18/12
J7GV1G,724839,95765,,Rocklin,CA,1992,,7/25/11
SG95YG,724830,95762,,El Dorado Hills,CA,1987,,10/10/11
XAA916,724830,95628,,Fair Oaks,CA,1992,,12/14/11
XV1MZ2,724839,95765,,Rocklin,CA,1999,,10/4/11
O92TAN,724940,94112,,San Francisco AP,CA,1920,,2/15/12
CXSLTV,724837,95949,,Grass Valley,CA,1978,,9/6/11
Q3BQ47,724839,95616,,Davis,CA,1985,,9/12/11
CNAP25,724940,94066,,San Bruno,CA,1964,,2/17/12
JIUVDO,723890,93611,,Clovis,CA,1993,,1/31/12
XJU20J,724830,95608,,Carmichael,CA,1962,,2/10/12
SEHDPS1526388705,722899,91764,,,CA,1947,,5/21/12
R0L0LS,724830,95819,,Sacramento AP,CA,1930,,2/11/12
SEHDPS1526388701,722899,91711,,,CA,1956,,6/5/12
SEHDPS1526388700,723896,93291,,,CA,1975,,6/1/12
I2UDXY,723840,93306,,Bakersfield AP,CA,1979,,11/7/11
DAZ238,724920,95336,,Manteca,CA,1980,,3/2/12
SEHDPS1526388709,722976,91722,,,CA,1954,,7/5/12
Q0OESK,723890,93722,,Fresno AP,CA,1961,,11/16/11
507J2H,724940,94044,,Pacifica,CA,1948,,3/9/12
IELOKT,724830,95762,,Folsom Dam,CA,1994,,11/28/11
IBFIG6,724839,95627,,Winters,CA,1960,,12/19/11
7GC6PL,724936,94507,,Alamo,CA,1989,,10/27/11
0L4SF7,724940,94030,,Millbrae,CA,1963,,12/15/11
NWX2TS,724830,95628,,Fair Oaks,CA,1959,,12/7/11
SEHDPS1526388794,722976,91790,,,CA,1953,,8/29/12
E2OTKI,724926,95350,,Modesto,CA,1965,,2/27/12
28A1LG,724830,95608,,Citrus Heights,CA,1977,,9/16/11
SEHDPS1526455395,722976,91790,,,CA,1960,,10/12/12
P7J48E,724936,94553,,Martinez FS,CA,1973,,12/6/11
B0FK15,745090,94028,,Woodside,CA,1950,,10/21/11
FCSMGG,724926,95350,,Modesto,CA,1948,,2/23/12
SEHDPS1526388964,722976,91790,,,CA,1973,,10/5/12
LBTCJA,724830,95630,,Folsom,CA,1993,,12/9/11
FCGZID,724920,95203,,Stockton AP,CA,1928,,11/1/11
VPMBT4,724926,95355,,Modesto,CA,1999,,2/27/12
XVNDCQ,724945,95030,,Los Gatos,CA,1958,,11/9/11
NDQV3M,724940,94112,,San Francisco AP,CA,1920,,10/24/11
4KP4Y7,724935,94544,,Hayward,CA,1958,,8/9/11
22C05P,724945,95118,,San Jose,CA,1960,,2/21/12
QHWZEY,724839,95695,,Woodland,CA,1968,,1/24/12
SEHDPS1526388639,722976,91790,,,CA,1953,,5/17/12
SEHDPS1526388638,722899,91711,,,CA,1959,,4/24/12
SEHDPS1526388149,722899,91711,,,CA,1978,,6/7/11
DKIDMD,724830,95608,,Carmichael,CA,1960,,2/22/12
SEHDPS1526388145,723820,92372,,,CA,1986,,6/22/11
SEHDPS1526388632,722899,91711,,,CA,1964,,4/19/12
SEHDPS1526388631,723925,93101,,,CA,1927,,3/21/12
NKQKFN,724920,95204,,Stockton AP,CA,1950,,1/26/12
SEHDPS1526388141,722899,91711,,,CA,1965,,6/17/11
SEHDPS1526388636,722976,91722,,,CA,1954,,7/23/12
SEHDPS1526388635,722976,91746,,,CA,1957,,5/30/12
SEHDPS1526388634,722869,92407,,,CA,1948,,5/22/12
7CN3TA,724830,95825,,Sacramento AP,CA,1957,,3/12/12
6KL3UF,724940,94121,,San Francisco CO,CA,1900,,10/20/11
KAKCIG,723890,93710,,Fresno AP,CA,1977,,9/12/11
8XBUU9,724945,95118,,San Jose,CA,1959,,2/27/12
MRUHXG,724945,95037,,Morgan Hill,CA,1968,,1/30/12
JFP62J,724940,94044,,Pacifica,CA,2000,,3/5/12
SD34XR,724940,94124,,San Francisco AP,CA,1931,,1/23/12
Z4ZAYM,724945,95070,,Saratoga,CA,1956,,3/7/12
4DT6NX,724936,94553,,Martinez FS,CA,1984,,2/22/12
SEHDPS1526388525,722976,91791,,,CA,1953,,4/25/12
IO423J,724839,95747,,Roseville,CA,1995,,8/16/11
SEHDPS1526388523,722976,91780,,,CA,1942,,2/29/12
8EP3JP,724936,94596,,Walnut Creek,CA,1949,,2/6/12
SEHDPS1526388520,722976,91791,,,CA,1953,,4/16/12
T3ENVD,724955,95476,,Sonoma,CA,1976,,8/17/11
OIO0DS,724930,94708,,Berkeley,CA,1927,,1/11/12
5FJWGK,724940,94019,,Half Moon Bay,CA,1992,,9/20/11
RNVA0E,724920,95377,,Tracy Carbona,CA,2000,,2/1/12
8T536C,724940,94066,,San Bruno,CA,1958,,11/1/11
8OP5C0,724936,94563,,Orinda,CA,1959,,1/3/12
EYHNQ6,724940,94134,,San Francisco CO,CA,1948,,2/7/12
MA0O99,724957,95472,,Santa Rosa,CA,1955,,11/7/11
NYFP7V,724936,94518,,Concord,CA,1969,,12/1/11
SEHDPS1526388452,722976,90604,,,CA,1961,,2/21/12
SEHDPS1526388451,722970,90713,,,CA,1953,,5/29/12
SEHDPS1526388450,722976,90701,,,CA,1960,,3/2/12
SEHDPS1526388457,722970,90813,,,CA,1910,,6/13/12
SEHDPS1526388456,722976,90601,,,CA,1924,,5/14/12
SEHDPS1526388455,722899,91767,,,CA,1963,,4/9/12
SEHDPS1526388454,722899,91768,,,CA,1941,,4/30/12
SEHDPS1526388459,722899,91711,,,CA,1961,,4/10/12
WGW5X3,724830,95818,,Sacramento AP,CA,1923,,11/17/11
DVGZON,724930,94705,,Berkeley,CA,1906,,2/24/12
GQIH1D,724945,95124,,San Jose,CA,1962,,3/17/12
OCIW6C,724830,95820,,Sacramento CO,CA,1951,,1/9/12
L1JFUZ,724839,95746,,Roseville,CA,1964,,1/28/12
SEHDPS1526388858,722976,90650,,,CA,1949,,8/27/12
P6T8UO,724940,94122,,San Francisco CO,CA,1911,,5/1/12
SEHDPS1526388856,723896,93221,,,CA,1994,,8/31/12
NAW94B,724940,94010,,Burlingame,CA,1957,,11/2/11
SEHDPS1526388853,722899,91740,,,CA,1956,,10/8/12
SEHDPS1526388851,722899,91773,,,CA,1962,,9/27/12
SEHDPS1526388146,722899,91711,,,CA,1976,,8/1/11
9L61IK,724926,95380,,Turlock,CA,1955,,11/17/11
RZSR0G,724945,95123,,Santa Clara Univ,CA,1966,,3/9/12
SGHDPS1526227775,722880,90039,,,CA,1931,,6/15/12
W6CEFM,724930,94804,,Richmond,CA,1950,,12/13/11
ILC5PV,724930,94556,,Moraga,CA,1988,,1/17/12
P7453W,724839,95834,,Sacramento CO,CA,1972,,2/22/12
N3Y7CA,724830,95670,,Rancho Cordova,CA,1994,,11/4/11
3G5RH1,724830,95816,,Sacramento AP,CA,1920,,2/10/12
SEHDPS1526388214,722926,92562,,,CA,1998,,8/30/11
H4HO3B,724940,94116,,San Francisco CO,CA,1928,,10/14/11
NI3ZY9,724830,95630,,Folsom Dam,CA,1986,,2/16/12
JQFLG0,724830,95831,,Sacramento CO,CA,1983,,3/3/12
NIEKUT,724930,94107,,San Francisco CO,CA,1949,,2/2/12
IJ1TNN,724926,95361,,Oakdale,CA,1977,,9/6/11
M7RUVJ,724940,94131,,San Francisco CO,CA,1952,,3/2/12
8DF9XL,724830,95628,,Fair Oaks,CA,1974,,1/3/12
CLJ1SZ,724830,95608,,Carmichael,CA,1979,,3/9/12
SGHDPS1526215611,722886,91423,,,CA,1948,,9/20/12
N96X7I,724839,95616,,Davis,CA,1984,,12/12/11
KBS5S8,724830,95682,,Cameron Park,CA,1988,,10/20/11
ZFD7SQ,723890,93727,,Fresno AP,CA,1961,,1/10/12
JQ4ED7,724927,94526,,Danville,CA,1994,,3/16/12
FJU576,745090,94028,,Los Altos,CA,1954,,9/29/11
0ARGAE,724920,95207,,Stockton AP,CA,1976,,12/16/11
D5PY9B,724940,94404,,Pacifica,CA,1964,,3/2/12
SGHDPS1525777094,722880,91604,,,CA,1950,,2/10/12
ZTACRV,724920,95207,,Stockton AP,CA,1955,,12/19/11
J4YNBB,724839,95695,,Woodland,CA,1985,,11/23/11
TCY4SI,724830,95608,,Carmichael,CA,1965,,1/17/12
77AIJL,724940,94002,,Berkeley,CA,1937,,12/28/11
F3N9MB,745090,94040,,Mountain View,CA,1955,,2/21/12
LDL1Y2,724930,94707,,Berkeley,CA,1960,,11/14/11
R44H3O,724839,95677,,Rocklin,CA,1980,,9/22/11
KGOFGT,724830,95821,,Sacramento CO,CA,1949,,1/18/12
KMZKQR,724830,95670,,North Highlands,CA,1956,,1/30/12
G4795P,724839,95677,,Rocklin,CA,1998,,10/29/11
USB2DQ,723890,93611,,Clovis,CA,1986,,1/19/12
2240363402,722904,91910,4 SANDALWOOD DR,Chula Vista,CA,1967,,5/30/12
SGHDPS1526086884,722886,91423,,,CA,1951,,5/16/12
E3CKWP,724945,95117,,San Jose,CA,1962,,2/1/12
IKZRV3,724936,94805,,Richmond,CA,1921,,11/7/11
SEHDPS1526388609,722976,91792,,,CA,1966,,6/22/12
E29N4C,724940,94066,,San Bruno,CA,1959,,2/29/12
Q94IIR,724927,94583,,San Ramon,CA,1969,,2/27/12
D6MO92,724930,94705,,Lafayette,CA,1925,,3/29/12
BKF8GR,724926,95382,,Turlock,CA,1973,,2/16/12
Z200B3,724839,95677,,Rocklin,CA,1977,,10/27/11
6P8U96,724830,95608,,Carmichael,CA,1961,,11/23/11
4X16QP,724830,95864,,Sacramento AP,CA,1988,,2/22/12
AW2QGG,724839,95616,,Davis,CA,1996,,2/24/12
N0XAO2,745090,94024,,Los Altos,CA,1955,,3/14/12
WUO5MP,745090,94087,,Sunnyvale,CA,1963,,3/6/12
UMUIST,724830,95823,,Sacramento CO,CA,1996,,10/24/11
6G56HH,724955,94589,,Vallejo,CA,1990,,1/27/12
SEHDPS1526388603,722885,90403,,,CA,1932,,4/5/12
SEHDPS1526388601,722869,92392,,,CA,1963,,6/1/12
SEHDPS1526388497,722976,91722,,,CA,1954,,7/2/12
EBGNIN,724830,95826,,Sacramento CO,CA,1965,,3/19/12
1681L5,724830,95623,,El Dorado Hills,CA,1987,,10/25/11
RWUQK7,724830,95831,,Sacramento AP,CA,1971,,2/3/12
A502LN,745090,94024,,San Jose,CA,1956,,12/12/11
MVQISP,724830,95682,,Cameron Park,CA,1990,,11/8/11
RO6LSJ,724830,95624,,Elk Grove,CA,1966,,3/1/12
6K21UL,724940,94403,,San Mateo,CA,1952,,2/3/12
3GPA3A,724830,95818,,Sacramento CO,CA,1941,,9/29/11
TIBEL0,724830,95762,,El Dorado Hills,CA,2002,,2/23/12
ZV1FBP,724940,94116,,San Francisco CO,CA,1945,,10/20/11
909U2C,724935,94541,,Hayward,CA,1959,,3/29/12
WDJ451,724830,95608,,Carmichael,CA,1957,,3/23/12
4OA0DB,724830,95816,,Sacramento CO,CA,1915,,12/13/11
QH6QH3,724839,95843,,North Highlands,CA,1987,,11/28/11
3TMKRK,724839,95765,,Rocklin,CA,1988,,9/6/11
1ZV8B5,724945,95111,,San Jose,CA,1972,,2/17/12
BWA3D3,745090,94086,,Sunnyvale,CA,1970,,1/16/12
69BNDS,724920,95209,,Stockton AP,CA,1952,,1/9/12
3A2PYS,723890,93711,,Fresno AP,CA,1955,,3/12/12
M9CS36,724936,94803,,El Sobrante,CA,1948,,10/17/11
DC6WQM,724926,95350,,Modesto,CA,1957,,9/16/11
SEHDPS1526388739,723925,93117,,,CA,Not Available,,6/6/12
KT19NK,724839,95843,,Antelope,CA,1987,,12/30/11
O19OAF,745090,94087,,Sunnyvale,CA,1965,,1/19/12
SEHDPS1526388736,722899,91741,,,CA,1955,,8/8/12
SEHDPS1526388735,722976,91722,,,CA,Not Available,,7/17/12
LMN6NB,724839,95677,,Rocklin,CA,1984,,9/6/11
SEHDPS1526374739,722976,91789,,,CA,1968,,12/7/11
1AX6M3,724945,95110,,San Jose,CA,1910,,1/24/12
EKP0NB,724830,95670,,Rancho Cordova,CA,1990,,1/16/12
SEHDPS1526388194,722899,91711,,,CA,1954,,1/9/12
